months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,fraud_flag,reviews
486,53,592053,09/17/96,SC,250/500,1000,1154.17,0,638179,MALE,High School,sales,dancing,other-relative,72441,-31096,04/05/15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,4290 4th St,8,2,YES,1,1,NO,108793,11712,25955,71126,Toyota,92x,1998,Y,1,
23,67,565945,06/29/98,OH,250/500,1000,1509.82,5000000,651768,FEMALE,Masters,priv-house-serv,sleeping,other-relative,21241,-55134,06/15/14,Single Vehicle Collision,Front Collision,Major Damage,Police,IN,Northbend,2357 2nd Drive,12,3,YES,2,0,YES,108708,8421,7384,92903,Honda,95,2002,Y,1,Unhappy service quality.
255,52,613275,01/06/12,VA,100/300,1000,1513.6,0,675920,MALE,Masters,machine-op-inspct,bungie-jumping,unmarried,22725,-76619,06/10/15,Multi-vehicle Collision,Side Collision,Minor Damage,,IN,Arlington,4451 4th St,5,3,YES,2,0,YES,17517,1184,3288,13045,Mercedes,92x,1999,N,0,
456,39,208411,07/08/95,WV,100/300,500,1897.63,0,525195,MALE,Associate,priv-house-serv,board-games,other-relative,35030,-14082,01/30/14,Single Vehicle Collision,?,Minor Damage,Police,VA,Columbus,3025 5th Ridge,1,1,?,1,1,NO,15242,1364,3017,10861,Nissan,F150,1997,N,0,
348,35,445147,06/14/01,IN,500/1000,1000,855.49,6000000,464669,MALE,PhD,exec-managerial,dancing,unmarried,46120,-46782,07/16/14,Multi-vehicle Collision,?,Minor Damage,Police,IN,Northbend,7948 Elm Lane,17,1,YES,1,2,YES,78980,13508,4093,61379,Chevrolet,E400,1995,N,0,
111,70,457718,01/30/14,OH,100/300,500,1492.35,5000000,400388,MALE,Masters,machine-op-inspct,camping,husband,39868,-18759,08/24/14,Single Vehicle Collision,Front Collision,Major Damage,Police,VA,Arlington,9483 3rd Hwy,1,2,?,1,1,NO,91955,20179,8592,63184,Dodge,RSX,2009,N,0,
314,71,694156,09/20/94,VA,500/1000,1000,1482.62,5000000,405438,FEMALE,PhD,sales,camping,unmarried,19276,-18916,03/03/14,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,6381 4th St,20,1,NO,0,0,YES,85578,5237,15803,64538,Audi,95,2003,N,0,
105,30,661410,06/06/05,IN,250/500,500,1001.74,3000000,546170,FEMALE,PhD,exec-managerial,skydiving,husband,39110,-79983,01/31/14,Vehicle Theft,Rear Collision,Total Loss,Police,IL,Arlington,9513 Maple Drive,3,3,YES,1,0,YES,101355,9930,8004,83421,Dodge,Pathfinder,1999,Y,1,Insurance premium doubled suddenly.
430,44,373181,09/06/04,OH,500/1000,1000,1206.22,5000000,462466,FEMALE,Associate,exec-managerial,dancing,own-child,9650,-73850,01/04/14,Parked Car,Front Collision,Total Loss,Police,VA,Northbend,1830 5th Ridge,5,3,YES,1,1,?,14878,2395,2463,10020,Toyota,RSX,2012,N,0,
34,56,317830,11/11/05,SC,100/300,1000,1440.5,6000000,644590,MALE,Associate,exec-managerial,dancing,husband,35101,-47480,12/12/14,Parked Car,Side Collision,Major Damage,Police,IL,Hillsdale,5033 Maple Drive,14,3,NO,0,3,?,89910,15167,14778,59965,Dodge,92x,1995,Y,1,
54,40,632998,08/21/05,VA,100/300,500,1242.9,5000000,587168,MALE,High School,priv-house-serv,dancing,husband,10246,-5458,06/23/15,Multi-vehicle Collision,Rear Collision,Total Loss,Police,VA,Arlington,7339 4th St,0,1,NO,2,3,NO,83385,20632,11247,51506,Mercedes,Civic,2005,N,0,Poor experience overall.
354,49,744076,04/04/95,WV,500/1000,500,1461.35,4000000,686162,MALE,High School,tech-support,dancing,other-relative,57207,-69750,10/13/15,Single Vehicle Collision,Side Collision,Total Loss,Police,IL,Riverwood,4726 2nd Drive,0,2,?,2,0,NO,115452,19880,19813,75759,Ford,Civic,1997,Y,1,
281,67,323486,10/09/92,IN,250/500,500,1871.82,5000000,546432,FEMALE,MD,machine-op-inspct,dancing,wife,63005,-8519,08/20/15,Single Vehicle Collision,Front Collision,Total Loss,Police,NC,Arlington,6490 4th St,23,2,NO,2,0,YES,47422,4760,7748,34914,Chevrolet,A3,2009,N,0,
372,33,930842,01/15/94,WV,100/300,1000,1620.03,4000000,484478,FEMALE,PhD,machine-op-inspct,reading,husband,78635,-31967,12/06/14,Multi-vehicle Collision,Front Collision,Major Damage,Other,IL,Springfield,5813 4th St,22,3,YES,2,2,NO,71044,12019,6849,52176,Dodge,Civic,2009,N,0,
404,62,482572,10/07/98,OH,500/1000,1000,1082.47,5000000,579176,FEMALE,Masters,tech-support,skydiving,other-relative,4683,-62549,06/13/15,Parked Car,Front Collision,Major Damage,Police,IN,Hillsdale,5992 5th Ridge,10,2,NO,1,2,YES,67653,6732,13634,47287,Chevrolet,Camry,2001,N,0,
42,43,995524,05/14/09,VA,250/500,1000,1203.71,3000000,651920,FEMALE,MD,sales,golf,unmarried,61565,-27505,07/28/15,Vehicle Theft,Front Collision,Total Loss,Police,NC,Arlington,8381 1st Ave,5,1,YES,0,2,NO,75168,12703,17655,44810,Chevrolet,F150,1997,Y,1,
387,37,315033,09/07/00,SC,250/500,1000,1257.19,6000000,480457,FEMALE,MD,priv-house-serv,dancing,husband,17391,-61792,03/24/14,Multi-vehicle Collision,Front Collision,Minor Damage,Police,VA,Northbend,2807 1st Ave,21,3,YES,1,3,NO,64683,8669,14482,41532,Honda,RSX,1998,N,0,
188,21,560310,04/17/04,NC,100/300,1000,1126.18,4000000,563731,FEMALE,High School,sales,board-games,husband,37161,-74543,04/25/14,Vehicle Theft,Side Collision,Major Damage,Other,SC,Arlington,4164 Elm Lane,1,3,YES,2,1,NO,37959,4770,6602,26587,Honda,E400,2004,N,0,
383,19,929318,10/21/97,WV,500/1000,500,1737.79,0,635319,FEMALE,Associate,machine-op-inspct,camping,husband,3633,-18091,04/12/15,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,Hillsdale,1188 Elm Lane,13,3,NO,2,3,YES,10844,1942,754,8148,Audi,Highlander,2007,N,0,
104,30,355353,05/14/97,OH,100/300,1000,1545.84,5000000,678753,MALE,High School,priv-house-serv,reading,other-relative,24943,-49441,04/10/14,Single Vehicle Collision,?,Total Loss,Police,NC,Hillsdale,9715 3rd Hwy,18,1,?,0,1,NO,49991,8640,10445,30906,Toyota,Pathfinder,2011,N,0,
490,18,538294,01/29/08,SC,100/300,500,1127.23,4000000,632135,FEMALE,Associate,exec-managerial,golf,other-relative,36594,-9454,01/28/15,Single Vehicle Collision,Rear Collision,Total Loss,Police,WV,Hillsdale,5681 5th Ridge,11,3,NO,2,1,YES,112004,13490,20486,78028,Toyota,Pathfinder,2011,Y,1,
241,51,814461,05/16/04,NY,100/300,1000,1828.28,0,601262,FEMALE,MD,sales,skydiving,other-relative,37128,-1967,04/06/14,Multi-vehicle Collision,Rear Collision,Minor Damage,,VA,Hillsdale,6187 Elm Lane,12,1,YES,0,2,YES,40062,2939,2014,35109,Nissan,RAM,1999,N,0,
15,70,638740,08/03/93,OH,500/1000,1000,1388.78,0,489868,MALE,Masters,sales,dancing,wife,44516,-66937,09/04/15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9873 3rd Hwy,12,2,YES,2,0,YES,110808,17616,18979,74213,Accura,RAM,2008,Y,1,
359,19,696316,01/23/92,IN,250/500,500,1453.44,0,601840,MALE,MD,machine-op-inspct,bungie-jumping,wife,48555,-79715,09/10/15,Vehicle Theft,Side Collision,Major Damage,Police,IL,Riverwood,6448 5th Ridge,2,3,YES,2,2,YES,64601,16139,12950,35512,Toyota,F150,2015,Y,1,
53,27,642669,03/20/02,OH,250/500,2000,950.44,0,458298,FEMALE,High School,armed-forces,reading,other-relative,10173,-22396,09/05/14,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Hillsdale,5767 4th St,15,3,NO,1,3,NO,102691,25495,9548,67648,Mercedes,RAM,1996,Y,1,
300,71,881207,05/04/94,IN,500/1000,500,1124.03,0,602038,MALE,Associate,tech-support,bungie-jumping,own-child,11716,-48811,08/21/14,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Arlington,8444 3rd Hwy,10,1,YES,2,2,NO,73489,9230,10767,53492,Audi,F150,2009,N,0,
77,55,893362,03/20/90,NC,100/300,2000,1942.66,0,614004,FEMALE,MD,sales,dancing,wife,76585,-62845,01/06/14,Single Vehicle Collision,Front Collision,Major Damage,Police,IL,Northbend,5075 3rd Hwy,10,2,YES,1,0,YES,82317,13610,16049,52658,Honda,Civic,2013,N,0,
110,65,547648,03/14/06,OH,500/1000,1000,1431.22,5000000,574968,MALE,MD,protective-serv,board-games,husband,43001,-1826,05/16/14,Multi-vehicle Collision,Side Collision,Major Damage,Police,IN,Northbend,7931 Maple Drive,22,1,NO,2,0,YES,95029,17554,9382,68093,Audi,RSX,2014,N,0,
290,54,551791,08/16/97,NC,500/1000,1000,1956.56,5000000,691392,FEMALE,MD,armed-forces,camping,other-relative,65732,-67826,07/23/14,Multi-vehicle Collision,?,Total Loss,Fire,WV,Arlington,2251 Elm Lane,8,2,?,0,3,YES,57496,5607,11492,40397,Saab,Civic,2015,N,0,
289,76,868879,05/19/00,IN,500/1000,2000,1655.36,4000000,545922,MALE,Masters,armed-forces,camping,wife,68881,-13634,03/14/14,Single Vehicle Collision,Front Collision,Major Damage,Police,IL,Arlington,8937 1st Ave,4,1,YES,2,0,YES,56206,6189,9471,40546,Audi,Tahoe,2005,N,0,
215,31,960020,04/13/15,NC,250/500,1000,1714.61,6000000,495445,FEMALE,PhD,armed-forces,sleeping,unmarried,69151,-35965,09/23/15,Parked Car,Rear Collision,Major Damage,Fire,NC,Hillsdale,3123 Maple Drive,23,1,YES,1,1,YES,76369,8817,4187,63365,Ford,RSX,2007,N,0,
142,70,606170,01/05/03,OH,250/500,500,1766.4,4000000,436640,FEMALE,Masters,tech-support,dancing,unmarried,49663,-49673,09/04/15,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NC,Hillsdale,1015 1st Ave,5,3,NO,2,3,YES,2167,469,391,1307,Accura,Camry,1998,N,0,
33,45,822743,05/14/92,OH,250/500,2000,853.57,0,664814,FEMALE,Associate,machine-op-inspct,skydiving,unmarried,50622,-32263,07/01/15,Vehicle Theft,Front Collision,Total Loss,Other,VA,Springfield,1792 Maple Drive,20,1,YES,2,0,YES,50152,2732,12496,34924,Saab,RAM,1995,N,0,
169,20,661187,09/21/01,SC,250/500,1000,1182.86,0,603824,FEMALE,MD,tech-support,reading,husband,55571,-38452,06/15/15,Vehicle Theft,Rear Collision,Major Damage,,NC,Arlington,6949 2nd Drive,22,3,?,1,3,YES,103119,10259,8843,84017,Accura,Tahoe,1998,Y,1,
140,43,900533,12/23/09,WV,500/1000,500,1706.78,4000000,557241,FEMALE,Masters,machine-op-inspct,dancing,husband,1181,-19668,01/10/15,Multi-vehicle Collision,Side Collision,Minor Damage,Police,WV,Arlington,7828 5th Ridge,14,1,NO,2,1,YES,48120,2864,5654,39602,Saab,RAM,2010,N,0,
495,43,704575,06/08/13,SC,100/300,1000,1658.47,6000000,491401,MALE,MD,exec-managerial,golf,other-relative,29070,-33639,06/18/15,Parked Car,Front Collision,Total Loss,,IL,Hillsdale,8096 2nd Drive,7,1,YES,1,0,YES,20474,1129,3283,16062,Chevrolet,Camry,2005,N,0,
195,49,627632,04/02/02,IN,250/500,2000,1990.94,4000000,654246,MALE,Associate,armed-forces,bungie-jumping,other-relative,72037,-72664,09/23/15,Multi-vehicle Collision,Rear Collision,Total Loss,Police,IN,Arlington,9358 2nd Drive,21,2,NO,2,3,NO,24322,2693,1577,20052,Audi,RSX,2004,N,0,
270,28,634101,02/13/12,WV,500/1000,2000,1721.64,4000000,569913,MALE,High School,armed-forces,sleeping,wife,62176,-28248,11/03/15,Multi-vehicle Collision,Front Collision,Major Damage,Police,IN,Columbus,5706 2nd Drive,8,1,YES,2,0,YES,57468,6096,11766,39606,Chevrolet,F150,2002,N,0,
253,71,368731,04/02/96,VA,250/500,500,1874.83,4000000,410456,MALE,Associate,armed-forces,camping,wife,19174,-24765,05/23/14,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,7264 Maple Drive,6,1,YES,2,0,YES,76347,9939,13637,52771,Ford,A3,2005,N,0,
463,37,112744,05/26/15,NC,250/500,1000,1173.45,4000000,430340,FEMALE,Associate,priv-house-serv,board-games,other-relative,21722,-10433,07/24/15,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Riverwood,9097 3rd Hwy,10,3,YES,0,3,YES,108137,25107,15102,67928,Honda,A5,1995,Y,1,
378,74,253630,08/20/06,OH,250/500,1000,1293.62,4000000,400183,FEMALE,PhD,armed-forces,reading,husband,62988,-42779,12/19/14,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Hillsdale,4691 Elm Lane,11,1,YES,2,0,YES,12778,1746,721,10311,Toyota,Highlander,1999,N,0,
276,79,884570,05/25/08,IN,100/300,1000,1529.48,5000000,577770,FEMALE,Masters,exec-managerial,board-games,own-child,74034,-61052,12/08/14,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,6327 2nd Drive,17,1,NO,1,2,?,2441,263,197,1981,Accura,Camry,2000,N,0,
245,23,708818,01/25/10,OH,250/500,2000,1770.77,3000000,423985,MALE,Masters,sales,reading,unmarried,34391,-56073,01/29/14,Vehicle Theft,Front Collision,Minor Damage,Police,IL,Hillsdale,3412 Maple Drive,12,3,?,1,2,NO,46011,9827,9675,26509,Honda,Highlander,1995,N,0,
449,63,601075,04/06/11,SC,250/500,500,1455.32,4000000,437839,MALE,PhD,tech-support,skydiving,unmarried,5455,-6678,09/08/15,Multi-vehicle Collision,Side Collision,Minor Damage,Police,IL,Riverwood,6379 4th St,16,3,YES,1,2,YES,42262,3927,9528,28807,Nissan,95,2008,N,0,
413,44,142179,09/04/93,NC,250/500,500,1593.33,0,445004,FEMALE,PhD,priv-house-serv,bungie-jumping,other-relative,62032,-49134,01/29/15,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,1153 Maple Drive,1,2,?,1,3,YES,39749,7215,3258,29276,Audi,92x,1995,N,0,
345,50,775494,11/10/14,NY,100/300,2000,1616.6,5000000,534114,MALE,PhD,protective-serv,sleeping,wife,50509,-68183,01/20/15,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,2807 3rd Hwy,14,2,NO,2,0,YES,91364,12698,15865,62801,Honda,E400,2012,N,0,
270,36,623593,03/15/12,IN,250/500,500,1160.35,5000000,525703,FEMALE,High School,exec-managerial,sleeping,unmarried,2569,-53449,10/26/15,Parked Car,Front Collision,Minor Damage,Police,NY,Riverwood,9773 1st Ave,0,1,YES,2,1,NO,29254,7219,7066,14969,Mercedes,F150,2010,N,0,
54,42,619252,12/09/96,WV,250/500,1000,1572.11,4000000,514538,MALE,High School,sales,sleeping,unmarried,31384,-62097,04/01/15,Multi-vehicle Collision,Rear Collision,Major Damage,Police,IN,Hillsdale,8609 1st Ave,8,3,NO,2,3,?,82729,18920,13327,50482,Dodge,A3,2006,Y,1,
179,66,487346,06/08/96,NY,100/300,500,1460.94,0,673667,MALE,High School,sales,reading,own-child,48231,-38690,06/08/14,Single Vehicle Collision,Rear Collision,Major Damage,,NC,Hillsdale,4340 5th Ridge,18,3,NO,2,0,YES,117525,13108,20375,84042,Audi,Camry,2013,Y,1,
351,54,651253,12/04/92,SC,100/300,1000,1440.5,3000000,683760,MALE,High School,machine-op-inspct,sleeping,wife,56998,-27926,09/30/15,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,1876 Maple Drive,4,2,YES,1,0,YES,69695,14068,12541,43086,Dodge,F150,2014,Y,1,
403,39,275473,02/23/10,OH,250/500,2000,803.02,0,417797,FEMALE,PhD,machine-op-inspct,skydiving,own-child,13550,-4056,11/25/14,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Columbus,1470 4th St,0,3,NO,2,3,?,86345,7038,13077,66230,Saab,Pathfinder,2000,Y,1,
338,62,646680,02/27/00,IN,500/1000,500,1502.18,0,497572,FEMALE,MD,priv-house-serv,reading,unmarried,15940,-51979,09/23/14,Vehicle Theft,Rear Collision,Minor Damage,Police,OH,Springfield,6674 3rd Hwy,21,2,YES,2,1,NO,57919,13130,12392,32397,Ford,Civic,1996,N,0,
94,48,887040,02/27/91,OH,250/500,2000,1802.89,5000000,699961,FEMALE,PhD,machine-op-inspct,skydiving,husband,69183,-56447,08/30/14,Parked Car,?,Major Damage,Fire,OH,Northbend,4904 Elm Lane,11,1,NO,2,2,YES,49745,3211,3159,43375,Ford,92x,2013,N,0,
107,62,481140,12/10/02,WV,100/300,500,1687.84,4000000,432644,FEMALE,Masters,machine-op-inspct,dancing,unmarried,76895,-18372,11/27/15,Single Vehicle Collision,Side Collision,Major Damage,Police,OH,Springfield,2098 2nd Drive,1,1,NO,0,2,YES,5458,1167,752,3539,Dodge,E400,2008,N,0,
444,61,348437,02/09/97,VA,100/300,500,1905.77,4000000,628914,FEMALE,Associate,exec-managerial,reading,husband,78681,-78894,09/04/15,Single Vehicle Collision,Side Collision,Total Loss,Police,IL,Hillsdale,2552 Elm Lane,13,1,NO,1,3,YES,13859,3439,2912,7508,Mercedes,A3,1997,N,0,Switched company due to poor service.
176,72,134174,11/04/14,NY,100/300,500,1484.34,5000000,558659,FEMALE,Associate,armed-forces,sleeping,wife,68282,-35372,12/23/15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NC,Hillsdale,3225 4th St,9,1,YES,0,0,NO,51143,9782,11008,30353,Nissan,RAM,2015,N,0,
337,57,200697,05/30/04,NC,100/300,1000,1588.52,3000000,681161,MALE,High School,sales,dancing,unmarried,36512,-8251,05/24/15,Single Vehicle Collision,?,Minor Damage,Police,IL,Columbus,8802 Maple Drive,18,1,?,1,0,NO,42153,5024,3103,34026,Audi,RAM,2008,N,0,
98,64,707302,08/04/93,IN,100/300,1000,916.03,0,578309,FEMALE,High School,priv-house-serv,board-games,husband,72162,-4477,07/15/14,Multi-vehicle Collision,Front Collision,Minor Damage,Other,OH,Riverwood,2477 3rd Hwy,0,3,YES,0,1,YES,67447,10988,16250,40209,Dodge,RSX,2004,N,0,
476,64,346280,06/16/12,WV,250/500,1000,1917.96,6000000,547937,FEMALE,Associate,protective-serv,dancing,wife,68280,-52457,12/19/14,Single Vehicle Collision,Side Collision,Major Damage,Police,IN,Arlington,8279 Maple Drive,8,2,YES,1,3,?,73493,8421,9008,56064,Toyota,Camry,2006,Y,1,
139,67,703840,11/07/04,VA,250/500,500,1697.56,4000000,437096,FEMALE,MD,armed-forces,dancing,unmarried,43546,-26485,05/18/14,Vehicle Theft,Rear Collision,Major Damage,,NY,Columbus,9064 3rd Hwy,3,3,YES,0,0,YES,40312,8689,7367,24256,Dodge,RAM,2008,N,0,
105,44,506556,02/16/10,WV,500/1000,500,1118.07,5000000,414940,FEMALE,Masters,tech-support,camping,husband,48331,-21543,04/12/14,Single Vehicle Collision,Rear Collision,Minor Damage,Police,OH,Arlington,5011 5th Ridge,7,3,YES,1,3,YES,94113,22348,5505,66260,Toyota,Pathfinder,1995,Y,1,
135,34,434898,02/28/92,SC,250/500,1000,866.86,0,496286,FEMALE,MD,sales,board-games,wife,36993,-13987,07/15/14,Vehicle Theft,?,Minor Damage,Police,VA,Northbend,1987 Elm Lane,20,3,NO,0,3,NO,112659,20870,19279,72510,Dodge,92x,2014,Y,1,
117,51,608456,11/01/00,OH,500/1000,1000,1480.05,0,503087,FEMALE,Associate,machine-op-inspct,reading,wife,26245,-46994,02/04/15,Multi-vehicle Collision,?,Minor Damage,Fire,SC,Riverwood,1077 4th St,10,3,NO,0,3,?,118116,10154,14672,93290,Chevrolet,E400,2015,Y,1,
48,45,661513,07/23/08,IN,250/500,1000,802.7,4000000,597962,MALE,High School,priv-house-serv,dancing,unmarried,66692,-60543,07/08/14,Multi-vehicle Collision,?,Minor Damage,Other,OH,Northbend,8766 Maple Drive,13,2,?,2,0,YES,34825,4282,6125,24418,Chevrolet,A3,1998,N,0,
228,34,954888,11/07/08,WV,100/300,500,880.66,0,660686,MALE,Masters,priv-house-serv,reading,own-child,28148,-9489,09/27/14,Parked Car,Rear Collision,Minor Damage,Police,IL,Hillsdale,9879 Maple Drive,3,2,YES,0,2,YES,60564,5285,8514,46765,Nissan,Tahoe,2012,N,0,
286,32,651506,08/10/00,NY,100/300,1000,982.17,4000000,485676,MALE,Masters,protective-serv,bungie-jumping,husband,7815,-39151,10/27/14,Parked Car,Rear Collision,Major Damage,,OH,Columbus,2322 1st Ave,14,3,YES,2,2,YES,36931,6239,5613,25079,Mercedes,E400,1996,N,0,
75,66,421706,01/09/04,WV,100/300,500,1377.62,0,427534,FEMALE,High School,priv-house-serv,sleeping,unmarried,20446,-21872,08/24/14,Parked Car,Front Collision,Major Damage,Fire,IL,Springfield,1572 3rd Hwy,7,1,YES,1,1,YES,40134,9708,8603,21823,Mercedes,Civic,1997,N,0,
232,54,336213,08/07/96,IL,250/500,1000,1536.21,0,607488,FEMALE,PhD,sales,board-games,other-relative,34117,-73126,02/18/15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Arlington,6956 Maple Drive,14,2,YES,2,1,YES,64974,11440,5373,48161,Chevrolet,F150,2001,Y,1,
20,71,839113,10/29/92,WV,250/500,2000,1457.59,6000000,579150,FEMALE,High School,sales,sleeping,wife,9015,-44148,07/04/14,Multi-vehicle Collision,Front Collision,Total Loss,,VA,Arlington,8751 Maple Drive,21,1,NO,2,2,YES,27772,5117,6269,16386,Toyota,Civic,1997,N,0,
275,51,137040,03/04/12,IL,500/1000,500,1864.38,3000000,653704,MALE,High School,tech-support,sleeping,wife,58233,-6443,10/25/15,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,IN,Columbus,5059 5th Ridge,13,3,NO,1,1,YES,22314,3764,5366,13184,Audi,Pathfinder,2003,N,0,
176,36,804566,02/23/92,NC,100/300,1000,1907.95,5000000,694206,FEMALE,Associate,priv-house-serv,reading,own-child,16021,-14417,06/17/14,Single Vehicle Collision,Front Collision,Minor Damage,Police,IN,Hillsdale,8576 5th Ridge,21,1,?,1,0,YES,101325,17612,25126,58587,Ford,92x,2012,N,0,
338,70,912083,03/21/14,NC,100/300,1000,1492.27,4000000,501807,MALE,PhD,tech-support,skydiving,other-relative,42233,-25922,10/20/14,Single Vehicle Collision,Front Collision,Minor Damage,Police,IL,Riverwood,7086 1st Ave,9,3,?,1,3,NO,52667,4684,4717,43266,Chevrolet,92x,2009,N,0,
375,48,383571,12/19/97,NY,500/1000,2000,1285.42,0,529413,MALE,Associate,armed-forces,reading,unmarried,22857,-51807,03/29/15,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,6630 2nd Drive,22,2,NO,1,1,NO,17822,1248,1696,14878,Toyota,Camry,2005,N,0,
80,18,809534,02/08/15,NY,100/300,2000,1687.03,0,676551,FEMALE,High School,exec-managerial,sleeping,wife,37139,-75876,07/02/15,Single Vehicle Collision,Side Collision,Minor Damage,Other,IL,Northbend,7566 5th Ridge,18,3,NO,2,2,NO,110274,6029,10881,93364,Toyota,Tahoe,2004,Y,1,
444,24,691666,12/19/99,IN,100/300,1000,822.76,6000000,405201,MALE,PhD,tech-support,dancing,husband,44013,-3377,01/13/15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,VA,Riverwood,5571 3rd Hwy,0,1,NO,1,2,YES,34946,1944,6094,26908,Audi,RAM,2014,N,0,
395,50,729477,01/04/13,NC,250/500,1000,1928.79,4000000,666877,MALE,Associate,priv-house-serv,skydiving,husband,69598,-22974,04/23/14,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,Springfield,9130 Elm Lane,14,2,YES,0,0,YES,62128,5434,9044,47650,Toyota,E400,1997,N,0,
117,24,707502,05/19/12,NY,100/300,2000,1571.8,0,661862,MALE,Associate,tech-support,sleeping,husband,47706,-45526,08/07/14,Multi-vehicle Collision,?,Major Damage,Police,SC,Northbend,6094 2nd Drive,17,3,NO,1,1,NO,108157,10924,10109,87124,Toyota,RAM,2011,Y,1,
221,68,592016,04/13/93,OH,500/1000,500,844.28,0,621684,FEMALE,High School,armed-forces,reading,wife,3071,-46267,03/22/15,Single Vehicle Collision,Rear Collision,Minor Damage,,WV,Hillsdale,9439 3rd Hwy,21,3,NO,1,0,YES,46926,11525,6499,28902,Dodge,A3,1995,N,0,
472,26,277999,09/06/07,VA,100/300,1000,1805.57,0,582370,MALE,PhD,tech-support,sleeping,unmarried,14425,-23831,10/02/15,Multi-vehicle Collision,Side Collision,Total Loss,Police,IN,Springfield,3750 3rd Hwy,11,3,YES,1,1,YES,64387,13434,3581,47372,Dodge,Civic,2011,Y,1,
441,47,811055,05/17/95,IL,250/500,500,931.61,6000000,411861,MALE,High School,tech-support,dancing,wife,61006,-25987,08/06/14,Multi-vehicle Collision,Side Collision,Total Loss,Other,IL,Riverwood,5222 4th St,4,2,YES,1,2,YES,104770,22142,5679,76949,Honda,95,2000,Y,1,
40,57,940030,11/14/08,WV,250/500,500,1787.23,5000000,415761,MALE,Masters,armed-forces,golf,unmarried,33154,-61647,06/12/14,Single Vehicle Collision,Front Collision,Minor Damage,,IN,Hillsdale,9432 1st Ave,2,3,NO,0,1,YES,3914,769,599,2546,Mercedes,Pathfinder,2015,N,0,
446,19,959243,09/19/14,NY,500/1000,2000,1911.08,3000000,659644,MALE,Masters,machine-op-inspct,camping,wife,54788,-93,09/03/14,Multi-vehicle Collision,Rear Collision,Major Damage,Other,IL,Columbus,8882 4th St,10,3,?,2,2,?,29958,4396,5227,20335,Accura,RSX,2013,N,0,
40,66,157304,08/15/15,NC,100/300,500,1851.86,3000000,443358,FEMALE,MD,exec-managerial,reading,own-child,55912,-40453,01/13/15,Parked Car,Front Collision,Minor Damage,Police,NY,Hillsdale,3797 Maple Drive,15,3,?,2,3,YES,49703,6204,4915,38584,Nissan,92x,2000,N,0,
166,23,314245,05/14/91,NY,250/500,1000,1216.8,0,466848,FEMALE,MD,sales,skydiving,unmarried,12181,-13591,09/04/15,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,8772 5th Ridge,9,2,NO,2,2,?,116445,24910,19822,71713,Audi,RAM,2007,Y,1,Service quality deteriorated significantly.
352,26,155626,01/31/91,NC,250/500,1000,1218.74,5000000,517538,FEMALE,High School,exec-managerial,bungie-jumping,wife,76255,-52990,09/08/15,Parked Car,Rear Collision,Total Loss,Police,VA,Riverwood,3339 1st Ave,17,1,YES,0,3,YES,33245,7332,8221,17692,Mercedes,Camry,1997,N,0,
412,20,835317,09/21/01,IN,500/1000,1000,1559.18,3000000,504461,MALE,Masters,tech-support,skydiving,unmarried,22802,-56704,09/07/14,Multi-vehicle Collision,?,Major Damage,Police,IL,Northbend,2754 5th Ridge,13,3,NO,1,1,YES,114683,21028,5920,87735,Nissan,92x,2008,Y,1,
34,79,598227,05/18/91,IL,500/1000,2000,1879.45,5000000,648558,FEMALE,Associate,exec-managerial,skydiving,unmarried,27002,-30905,02/26/15,Multi-vehicle Collision,?,Major Damage,Police,OH,Columbus,2320 5th Ridge,14,3,NO,0,1,YES,41209,5607,10259,25343,Mercedes,Civic,1998,N,0,Refused to process claim trivial reasons.
